arm,seed,case,env_id,fall_by_height_channel,fall_by_tilt_channel,fall_by_either,max_continuous_low_height_s,max_continuous_tilted_s,terrain_z_min,terrain_z_max,terrain_z_span_m
A033,303,stairs_10_down,25,0,0,0,0.14,0.0,-0.7000015585180273,-0.42566839003945417,0.2743331684785731
A033,303,stairs_10_down,26,1,0,1,14.1,0.0,-0.7000007935386291,-0.40427791371065025,0.29572287982797885
A033,303,stairs_10_down,27,0,0,0,0.16,0.0,-0.7000016197163791,-0.2358288076472155,0.4641728120691636
A033,303,stairs_10_down,28,0,0,0,0.0,0.0,-0.6994664299296823,-0.529411948300938,0.17005448162874437
A033,303,stairs_10_down,29,0,0,0,0.26,0.0,-0.7000016401158297,-0.24438501041840743,0.4556166296974222
A033,303,stairs_10_down,30,1,0,1,12.18,0.0,-0.6967927351354916,-0.32032055778299423,0.37647217735249733
A033,303,stairs_10_down,31,1,1,1,0.72,0.92,-0.7000014055221476,-0.51016021157331,0.18984119394883758
A038,101,stairs_10_down,0,1,1,1,5.16,0.76,-0.7000015279188513,-0.5304815322957575,0.16951999562309383
A038,101,stairs_10_down,1,1,0,1,5.38,0.0,-0.7000008139380797,-0.6069521572500627,0.09304865668801698
A038,101,stairs_10_down,2,1,0,1,13.58,0.0,-0.7000007629394531,-0.5288773908972103,0.17112337204224282
A038,101,stairs_10_down,3,1,0,1,1.64,0.0,-0.7000014973196754,-0.5235296749176188,0.1764718224020566
A038,101,stairs_10_down,4,1,0,1,16.28,0.0,-0.7000016299161044,-0.6069521776495133,0.09304945226659112
A038,101,stairs_10_down,5,1,0,1,10.86,0.0,-0.7000017013141816,-0.5320858164904589,0.16791588482372266
A038,101,stairs_10_down,6,1,0,1,10.64,0.0,-0.7000017115139069,-0.5299465465035668,0.17005516501034013
A038,101,stairs_10_down,7,1,0,1,10.64,0.36,-0.7000016299161044,-0.5267380597119663,0.17326357020413807
A038,101,stairs_10_down,8,1,0,1,10.8,0.0,-0.7000013545235211,-0.5235290629341003,0.1764722915894208
A038,101,stairs_10_down,9,1,0,1,8.06,0.0,-0.7000013239243451,-0.5278072867164,0.17219403720794513
A038,101,stairs_10_down,10,1,0,1,13.64,0.0,-0.7000012423265427,-0.5288770033076485,0.17112423901889418
A038,101,stairs_10_down,11,1,0,1,9.16,0.0,-0.7000004875468698,-0.5278072969161253,0.17219319063074456
A038,101,stairs_10_down,12,1,1,1,13.4,0.5,-0.6994663381321545,-0.5229944953306473,0.17647184280150718
A038,101,stairs_10_down,13,1,0,1,15.92,0.0,-0.7000003549504408,-0.583957253930403,0.11604310102003779
A038,101,stairs_10_down,14,1,0,1,14.0,0.0,-0.7000003243512648,-0.5427805956672219,0.15721972868404288
A038,101,stairs_10_down,15,1,1,1,11.04,0.98,-0.7000012933251692,-0.5294116423091787,0.17058965101599055
A038,101,stairs_10_down,16,1,0,1,11.82,0.0,-0.7000012729257186,-0.5465238438570563,0.15347742906866224
A038,101,stairs_10_down,17,1,0,1,9.16,0.0,-0.7000011709284655,-0.5235290425346497,0.17647212839381576
A038,101,stairs_10_down,18,1,0,1,14.88,0.0,-0.7000012321268173,-0.5433151938698508,0.15668603825696648
A038,101,stairs_10_down,19,1,0,1,15.54,0.0,-0.7000013749229717,-0.5689841591738125,0.13101721574915914
A038,101,stairs_10_down,20,1,0,1,3.76,0.0,-0.700001221927092,-0.6069517900599516,0.09304943186714043
A038,101,stairs_10_down,21,1,1,1,15.24,10.68,-0.7000013341240704,-0.583422553730521,0.11657878039354941
A038,101,stairs_10_down,22,1,0,1,15.24,0.0,-0.7000011403292896,-0.5828877821325619,0.11711335819672775
A038,101,stairs_10_down,23,1,0,1,15.18,0.0,-0.6978621967336073,-0.5352938544941458,0.16256834223946148
A038,101,stairs_10_down,24,1,0,1,7.68,0.0,-0.6967923373462045,-0.5299465363038415,0.16684580104236302
A038,101,stairs_10_down,25,1,0,1,7.3,0.0,-0.7000015993169285,-0.5288770441065498,0.17112455521037873
A038,101,stairs_10_down,26,1,0,1,11.6,0.0,-0.7000017625125334,-0.5363638464779777,0.16363791603455569
A038,101,stairs_10_down,27,1,0,1,13.14,0.0,-0.6994661035384724,-0.5465240070526612,0.15294209648581114
