arm,seed,case,env_id,rows,upright_frac,height_rel_mean,height_rel_min,height_rel_mean_last200,proj_grav_z_mean,proj_grav_z_min,proj_grav_z_mean_last200,speed_xy_mean,speed_xy_mean_last200,first_height_rel_below_0p18_step,terminated_any,term_base_contact_any,net_dx_m,net_dy_m,net_dxy_m,terrain_z_first,terrain_z_last,terrain_z_climb_m,root_z_first,root_z_last
A033,101,stairs_10_down,13,1000,0.994,0.2614468764719316,0.16880757461257156,0.24054162875406568,-0.9762486153841019,-1.0,-0.9719426385798857,0.17603974978877884,0.09596662531256142,168,0,0,0.2218881994485855,0.41425275802612305,0.4699358685893054,-0.6967922761478526,-0.7000003243512648,-0.0032080482034122504,-0.3003861606121063,-0.29999998211860657
A033,101,stairs_10_down,14,1000,0.863,0.22381257622605302,0.1513865366976529,0.19996887671898955,-0.9597294952869415,-1.0,-0.9514770531535741,0.32044851672321356,0.3067796145236621,258,0,0,-0.5468848943710327,-0.6799252033233643,0.8725716989483064,-0.6951875941638641,-0.7000002223540117,-0.004812628190147605,-0.3006022572517395,-0.29999998211860657
A033,101,stairs_10_down,15,1000,0.998,0.323643709481081,0.17856132968224303,0.26664837704286626,-0.9560963384509087,-1.0,-0.9747492300337227,0.16123364165242104,0.05957956368184393,235,0,0,-0.6282400488853455,0.7315444946289062,0.9642836235492767,-0.6983960707557393,-0.7000003345509901,-0.0016042637952508043,-0.30044496059417725,-0.29999998211860657
A033,101,stairs_10_down,16,1000,1.0,0.31154325552818607,0.2279062805010036,0.3193256524731052,-0.984845655143261,-1.0,-0.9822966509790563,0.15231991573238815,0.041642226893484874,,0,0,-0.6379226446151733,-0.008417606353759766,0.6379781787879141,-0.7000007425400026,-0.7000002427534624,4.997865401534796e-07,-0.30078214406967163,-0.29999998211860657
A033,101,stairs_10_down,17,1000,0.989,0.31853091321200305,0.15913059861264767,0.3245404577266032,-0.9386786553859711,-1.0,-0.9227649089115769,0.12852598137425408,0.037061947615327814,212,0,0,0.1206855084747076,0.6892719268798828,0.6997576588651997,-0.7000001815551105,-0.6951875635646881,0.004812617990422319,-0.30049967765808105,-0.29999998211860657
A033,101,stairs_10_down,18,1000,0.825,0.23264279146695654,0.14077861878004944,0.19293724522551595,-0.9694334532618523,-1.0,-0.9597864005696121,0.26607026158179475,0.2927749585707006,131,0,0,0.04872018098831177,0.07506871223449707,0.08949283542317556,-0.7000010791309377,-0.7000003039518142,7.75179123446712e-07,-0.30068203806877136,-0.29999998211860657
A033,101,stairs_10_down,19,1000,0.999,0.27380861522018296,0.17994068268148655,0.25806197963886324,-0.9771891409158706,-1.0,-0.972435287871764,0.17172740159208738,0.10642986565074783,182,0,0,-0.34938739240169525,-0.17457938194274902,0.3905758704384699,-0.7000001305564839,-0.7000003549504408,-2.243939568602471e-07,-0.3001343309879303,-0.29999998211860657
A033,101,stairs_10_down,20,1000,0.99,0.29263845828591933,0.16483435672234725,0.267642066908607,-0.9628917338848114,-1.0,-0.9457318729429103,0.21080058134504942,0.05341189346481963,216,0,0,0.2762455642223358,0.20042991638183594,0.3412971771540843,-0.6941187649487174,-0.7000003243512648,-0.0058815594025474205,-0.3001450300216675,-0.29999998211860657
A033,101,stairs_10_down,21,1000,1.0,0.2656089064517121,0.21418340607760422,0.25445822895082243,-0.9934428480863571,-1.0,-0.9933085987223914,0.14995041235103318,0.08843875310493518,,0,0,0.0554952472448349,-0.7504591941833496,0.7525082887258371,-0.7000001815551105,-0.7000003039518142,-1.2239670377223177e-07,-0.30042019486427307,-0.29999998211860657
A033,101,stairs_10_down,22,1000,0.585,0.21523999469555946,0.11964664405042474,0.15242576329499158,-0.9606373655200005,-1.0,-0.9282294719373408,0.2497520104072702,0.18361360791709608,182,0,0,0.47432203590869904,-0.3073296546936035,0.565183961558237,-0.7000000693581321,-0.6967918681588402,0.0032082011992918824,-0.30059489607810974,-0.29999998211860657
