arm,case,seed,env_id,observed,valid_seconds,stall_seconds,stall_share,first_step_time_s,censored,reason
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,5,True,19.48,14.04,0.720739,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,6,True,19.48,6.22,0.319302,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,7,True,19.48,13.28,0.681725,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,8,True,19.48,11.4,0.585216,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,9,True,19.48,12.12,0.622177,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,10,True,19.48,9.34,0.479466,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,11,True,19.48,13.44,0.689938,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,12,True,19.48,16.04,0.823409,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,13,True,19.48,14.46,0.7423,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,14,True,19.48,9.08,0.466119,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,15,True,19.48,12.84,0.659138,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,16,True,19.48,9.18,0.471253,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,17,True,19.48,16.42,0.842916,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,18,True,19.48,16.0,0.821355,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,19,True,19.48,10.42,0.534908,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,20,True,19.48,13.3,0.682752,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,21,True,19.48,13.84,0.710472,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,22,True,19.48,13.28,0.681725,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,23,True,19.48,2.52,0.129363,7.82,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,24,True,19.48,1.28,0.065708,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,25,True,19.48,15.54,0.797741,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,26,True,19.48,13.04,0.669405,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,27,True,19.48,13.6,0.698152,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,28,True,19.48,10.46,0.536961,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,29,True,19.48,10.46,0.536961,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,30,True,19.48,13.36,0.685832,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,202,31,True,19.48,13.54,0.695072,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,0,True,19.48,9.08,0.466119,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,1,True,19.48,6.62,0.339836,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,2,True,19.48,11.62,0.596509,4.02,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,3,True,19.48,8.02,0.411704,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,4,True,19.48,11.86,0.60883,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,5,True,19.48,14.16,0.726899,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,6,True,19.48,14.24,0.731006,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,7,True,19.48,10.88,0.558522,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,8,True,19.48,16.18,0.830595,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,9,True,19.48,9.66,0.495893,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,10,True,19.48,10.44,0.535934,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,11,True,19.48,15.38,0.789528,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,12,True,19.48,14.14,0.725873,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,13,True,19.48,13.58,0.697125,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,14,True,19.48,14.26,0.732033,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,15,True,19.48,8.0,0.410678,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,16,True,19.48,11.44,0.587269,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,17,True,19.48,9.26,0.475359,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,18,True,19.48,14.94,0.76694,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,19,True,19.48,11.82,0.606776,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,20,True,19.48,15.98,0.820329,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,21,True,19.48,0.0,0.0,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,22,True,19.48,9.82,0.504107,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,23,True,19.48,15.06,0.773101,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,24,True,19.48,9.42,0.483573,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,25,True,19.48,10.54,0.541068,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,26,True,19.48,2.88,0.147844,3.8,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,27,True,19.48,12.78,0.656057,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,28,True,19.48,11.32,0.581109,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,29,True,19.48,13.36,0.685832,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,30,True,19.48,8.76,0.449692,,True,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_15_down,303,31,True,19.48,12.22,0.62731,,True,
CreatorTemp,stairs_10_down,101,0,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,1,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,2,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,3,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,4,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,101,5,False,,,,,,environment absent from steps.csv
